Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
LYNCHBURG,11/19/10,108-100,Wot,35-76,.461,7-17,.412,31-45,.689,17,31,48,48.0,20,15,17,5,10,108,108.0,2010-2011
ST. JOHN FISHER,11/20/10,69-65,W,26-59,.441,4-12,.333,13-17,.765,6,24,30,39.0,22,8,13,2,11,69,88.5,2010-2011
at #12 Virginia Wesleyan,11/23/10,57-79,L,18-39,.462,3-6,.500,18-30,.600,4,23,27,35.0,17,2,18,0,2,57,78.0,2010-2011
BRIDGEWATER,11/26/10,87-73,W,26-51,.510,5-12,.417,30-45,.667,14,33,47,38.0,22,10,19,9,6,87,80.2,2010-2011
WESLEY,11/27/10,83-79,W,26-50,.520,5-8,.625,26-35,.743,13,24,37,37.8,24,10,19,4,6,83,80.8,2010-2011
at #14 St. Mary's (Md.),12/01/10,67-86,L,25-54,.463,5-17,.294,12-22,.545,11,20,31,36.7,18,10,20,0,2,67,78.5,2010-2011
at Mary Washington,12/13/10,75-78,L,27-63,.429,3-10,.300,18-27,.667,14,29,43,37.6,20,9,16,3,4,75,78.0,2010-2011
at Lynchburg College,12/17/10,82-77,Wot,31-66,.470,3-13,.231,17-27,.630,11,27,38,37.6,22,15,17,2,14,82,78.5,2010-2011
at Frostburg State,12/19/10,91-95,L,35-65,.538,7-18,.389,14-19,.737,10,17,27,36.4,22,13,16,2,15,91,79.9,2010-2011
FROSTBURG STATE,12/29/10,71-68,W,22-56,.393,4-11,.364,23-37,.622,20,27,47,37.5,25,11,19,2,7,71,79.0,2010-2011
WESLEY,12/30/10,79-70,W,25-58,.431,4-13,.308,25-41,.610,12,33,45,38.2,21,16,10,3,2,79,79.0,2010-2011
SHENANDOAH,1/5/11,82-75,W,35-71,.493,1-17,.059,11-18,.611,11,28,39,38.2,15,13,4,6,5,82,79.2,2010-2011
at N.C. Wesleyan,1/12/11,86-90,L,34-73,.466,4-15,.267,14-18,.778,16,32,48,39.0,16,10,16,3,6,86,79.8,2010-2011
#22 FERRUM,1/15/11,80-67,W,23-52,.442,2-11,.182,32-38,.842,10,31,41,39.1,19,8,15,5,11,80,79.8,2010-2011
AVERETT,1/18/11,80-42,W,26-60,.433,9-24,.375,19-24,.792,14,37,51,39.9,20,22,17,4,9,80,79.8,2010-2011
at Greensboro College,1/22/11,77-71,W,29-56,.518,7-18,.389,12-18,.667,10,26,36,39.7,18,13,14,3,3,77,79.6,2010-2011
at Methodist,1/23/11,77-74,W,25-54,.463,5-16,.313,22-37,.595,8,30,38,39.6,19,8,10,4,10,77,79.5,2010-2011
at Shenandoah Hornets,1/27/11,75-52,W,26-56,.464,6-14,.429,17-22,.773,15,38,53,40.3,18,13,20,3,6,75,79.2,2010-2011
#11 RANDOLPH-MACON,2/1/11,49-67,L,19-50,.380,2-12,.167,9-13,.692,8,26,34,40.0,18,8,17,5,4,49,77.6,2010-2011
