Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
LYNCHBURG,11/19/10,108-100,Wot,40-84,.476,6-18,.333,14-20,.700,18,31,49,49.0,29,15,27,2,6,100,100.0,2010-2011
ST. JOHN FISHER,11/20/10,69-65,W,21-53,.396,4-20,.200,19-25,.760,9,32,41,45.0,20,8,22,4,2,65,82.5,2010-2011
at #12 Virginia Wesleyan,11/23/10,57-79,L,29-65,.446,5-20,.250,16-24,.667,18,25,43,44.3,22,12,10,4,7,79,81.3,2010-2011
BRIDGEWATER,11/26/10,87-73,W,27-65,.415,6-19,.316,13-22,.591,10,20,30,40.8,32,15,13,3,8,73,79.2,2010-2011
WESLEY,11/27/10,83-79,W,28-65,.431,4-20,.200,19-26,.731,18,17,35,39.6,28,6,15,4,11,79,79.2,2010-2011
at #14 St. Mary's (Md.),12/01/10,67-86,L,30-59,.508,10-26,.385,16-24,.667,15,23,38,39.3,19,21,20,2,11,86,80.3,2010-2011
at Mary Washington,12/13/10,75-78,L,23-59,.390,11-27,.407,21-32,.656,13,27,40,39.4,19,14,13,6,7,78,80.0,2010-2011
at Lynchburg College,12/17/10,82-77,Wot,29-71,.408,1-12,.083,18-25,.720,18,30,48,40.5,21,18,19,3,10,77,79.6,2010-2011
at Frostburg State,12/19/10,91-95,L,30-53,.566,9-18,.500,26-30,.867,10,24,34,39.8,13,21,22,3,10,95,81.3,2010-2011
FROSTBURG STATE,12/29/10,71-68,W,18-58,.310,5-13,.385,27-37,.730,17,22,39,39.7,28,10,15,7,13,68,80.0,2010-2011
WESLEY,12/30/10,79-70,W,22-67,.328,4-22,.182,22-29,.759,16,33,49,40.5,27,4,7,3,6,70,79.1,2010-2011
SHENANDOAH,1/5/11,82-75,W,28-60,.467,5-17,.294,14-22,.636,7,30,37,40.2,19,13,9,2,2,75,78.8,2010-2011
at N.C. Wesleyan,1/12/11,86-90,L,34-69,.493,7-20,.350,15-24,.625,10,26,36,39.9,17,15,11,5,7,90,79.6,2010-2011
#22 FERRUM,1/15/11,80-67,W,22-63,.349,6-22,.273,17-29,.586,17,20,37,39.7,26,14,17,1,11,67,78.7,2010-2011
AVERETT,1/18/11,80-42,W,11-50,.220,1-15,.067,19-27,.704,7,23,30,39.1,19,4,21,3,10,42,76.3,2010-2011
at Greensboro College,1/22/11,77-71,W,28-61,.459,2-14,.143,13-24,.542,13,21,34,38.8,18,18,8,3,7,71,75.9,2010-2011
at Methodist,1/23/11,77-74,W,23-56,.411,11-21,.524,17-24,.708,8,28,36,38.6,25,12,16,4,6,74,75.8,2010-2011
at Shenandoah Hornets,1/27/11,75-52,W,20-63,.317,3-14,.214,9-20,.450,14,17,31,38.2,18,10,13,2,5,52,74.5,2010-2011
#11 RANDOLPH-MACON,2/1/11,49-67,L,23-58,.397,9-21,.429,12-18,.667,12,25,37,38.1,16,18,11,2,7,67,74.1,2010-2011
N.C. WESLEYAN,2/5/11,68-70,L,27-69,.391,3-19,.158,13-18,.722,14,26,40,38.2,15,13,15,3,9,70,73.9,2010-2011
ROANOKE,2/6/11,86-78,W,29-77,.377,7-25,.280,13-17,.765,15,33,48,38.7,19,13,12,7,5,78,74.1,2010-2011
at Averett,2/12/11,77-63,W,20-55,.364,5-15,.333,18-32,.563,19,22,41,38.8,25,5,17,2,5,63,73.6,2010-2011
at #19 Ferrum,2/13/11,83-95,Lot,30-62,.484,4-11,.364,31-38,.816,9,29,38,38.7,22,18,9,10,8,95,74.5,2010-2011
METHODIST,2/18/11,87-72,W,28-81,.346,1-14,.071,15-20,.750,22,24,46,39.0,25,7,13,5,9,72,74.4,2010-2011
GREENSBORO COLLEGE,2/19/11,55-52,W,21-49,.429,3-16,.188,7-14,.500,6,27,33,38.8,20,7,17,4,5,52,73.5,2010-2011
SHENANDOAH,2/22/11,84-66,W,24-69,.348,11-26,.423,7-12,.583,10,24,34,38.6,20,15,12,1,4,66,73.2,2010-2011
at Ferrum,2/25/11,81-87,L,31-61,.508,7-13,.538,18-24,.750,8,22,30,38.3,21,17,12,2,11,87,73.7,2010-2011
at Randolph-Macon,11/15/11,88-90,L,33-67,.493,5-17,.294,20-31,.645,9,25,34,34.0,30,22,17,2,6,91,91.0,2011-2012
at Mary Washington,11/18/11,74-72,Wot,24-70,.343,9-26,.346,15-32,.469,15,27,42,38.0,28,10,18,2,9,72,81.5,2011-2012
vs York (N.Y.),11/19/11,65-56,W,16-43,.372,0-9,.000,24-47,.511,14,26,40,38.7,22,7,16,5,4,56,73.0,2011-2012
MARY WASHINGTON,11/21/11,82-86,L,29-65,.446,9-24,.375,19-27,.704,12,24,36,38.0,18,16,16,6,12,86,76.2,2011-2012
WESLEY,11/25/11,89-80,W,22-61,.361,5-23,.217,31-44,.705,15,26,41,38.6,31,10,14,2,6,80,77.0,2011-2012
WASHINGTON & LEE,11/27/11,76-66,W,21-58,.362,6-16,.375,18-25,.720,11,30,41,39.0,15,10,16,6,5,66,75.2,2011-2012
ST. MARY'S (MD.),12/01/11,77-85,L,28-57,.491,7-17,.412,22-27,.815,14,17,31,37.9,22,15,18,3,6,85,76.6,2011-2012
at Piedmont College,12/16/11,94-70,W,23-70,.329,14-36,.389,10-17,.588,16,31,47,39.0,16,16,20,9,4,70,75.8,2011-2012
at LaGrange College,12/18/11,97-83,W,28-61,.459,7-23,.304,20-33,.606,16,21,37,38.8,22,15,21,4,8,83,76.6,2011-2012
PIEDMONT COLLEGE,12/29/11,95-63,W,24-66,.364,4-21,.190,11-20,.550,13,29,42,39.1,22,12,19,4,4,63,75.2,2011-2012
MCDANIEL,12/30/11,64-46,W,13-52,.250,4-20,.200,16-25,.640,15,24,39,39.1,20,7,19,4,4,46,72.5,2011-2012
at Methodist,1/4/12,80-75,W,24-68,.353,5-19,.263,22-33,.667,21,30,51,40.1,22,7,17,10,7,75,72.8,2011-2012
at N.C. Wesleyan,1/7/12,84-56,W,20-55,.364,1-12,.083,15-26,.577,11,25,36,39.8,21,10,18,3,9,56,71.5,2011-2012
METHODIST,1/11/12,77-70,W,24-59,.407,1-12,.083,21-30,.700,10,27,37,39.6,25,6,14,1,10,70,71.4,2011-2012
FERRUM,1/14/12,107-79,W,29-77,.377,3-12,.250,18-23,.783,18,15,33,39.1,22,7,15,6,12,79,71.9,2011-2012
SHENANDOAH,1/18/12,77-58,W,21-51,.412,6-22,.273,10-17,.588,3,23,26,38.3,24,8,14,2,4,58,71.0,2011-2012
at Greensboro College,1/21/12,91-69,W,27-78,.346,4-26,.154,11-15,.733,16,22,38,38.3,22,14,12,2,7,69,70.9,2011-2012
SALISBURY,1/23/12,81-65,W,25-60,.417,7-19,.368,8-10,.800,13,18,31,37.9,19,12,20,1,7,65,70.6,2011-2012
at Averett,1/25/12,91-72,W,20-59,.339,8-22,.364,24-28,.857,13,21,34,37.7,16,12,15,3,5,72,70.6,2011-2012
vs #5 Va. Wesleyan,1/28/12,74-89,L,33-70,.471,8-19,.421,15-18,.833,9,27,36,37.6,19,20,9,3,9,89,71.6,2011-2012
N.C. WESLEYAN,1/31/12,73-71,W,26-67,.388,5-12,.417,14-20,.700,20,29,49,38.1,19,16,16,4,8,71,71.5,2011-2012
at Ferrum,2/5/12,85-78,W,31-63,.492,5-13,.385,11-17,.647,13,18,31,37.8,23,14,12,3,5,78,71.8,2011-2012
GREENSBORO COLLEGE,2/11/12,106-79,W,29-63,.460,8-21,.381,13-22,.591,17,15,32,37.6,20,16,17,4,7,79,72.1,2011-2012
at Shenandoah Hornets,2/15/12,69-60,W,23-56,.411,2-15,.133,12-20,.600,9,29,38,37.6,24,6,18,2,5,60,71.6,2011-2012
AVERETT,2/18/12,99-95,W,33-77,.429,11-23,.478,18-27,.667,23,26,49,38.0,28,20,15,3,7,95,72.6,2011-2012
METHODIST,2/24/12,97-62,W,23-72,.319,6-24,.250,10-13,.769,18,23,41,38.2,13,7,13,3,5,62,72.2,2011-2012
GREENSBORO COLLEGE,2/26/12,82-72,W,26-57,.456,10-30,.333,10-12,.833,7,20,27,37.7,26,14,22,0,12,72,72.1,2011-2012
vs Western Connecticut,3/2/2012,84-94,L,31-73,.425,9-29,.310,23-25,.920,15,29,44,38.0,16,7,13,4,6,94,72.9,2011-2012
RANDOLPH-MACON,11/15/12,77-70,W,28-75,.373,4-28,.143,10-20,.500,16,32,48,48.0,23,17,11,5,7,70,70.0,2012-2013
at Salisbury,11/20/12,77-63,W,18-55,.327,4-23,.174,23-30,.767,14,22,36,42.0,15,6,16,1,6,63,66.5,2012-2013
WESLEY,11/24/12,81-79,Wot,24-78,.308,8-26,.308,23-38,.605,20,40,60,48.0,28,15,31,1,14,79,70.7,2012-2013
JOHN CARROLL,11/25/12,85-84,W,30-61,.492,12-28,.429,12-14,.857,10,20,30,43.5,19,15,15,4,6,84,74.0,2012-2013
at Maryville College Scots,12/1/12,79-62,W,20-62,.323,5-19,.263,17-20,.850,16,23,39,42.6,16,9,11,6,3,62,71.6,2012-2013
at St. Mary's (Md.),12/5/12,60-65,L,22-43,.512,7-12,.583,14-24,.583,9,20,29,40.3,13,12,17,5,5,65,70.5,2012-2013
